Sites,location,pair,FieldType,Acrobeles,Acrobeloides,Anguinidae,Aphelenchoides,Aphelenchus,Aporcelaimidae,Aporcelaimellus,Aporcelaimus,Axonchium,Carcharolaimus,Cervidellus,Cephalobus,Cephalenchus,Chiloplacus,Cruznema,Clarkus,Criconema,Ditylenchus,Dorylaimidae,Discolaimus,Dorylaimellus,Dorylaimus,Dolichodoridae,Eudorylaimus,Ecphyadophora,Eucephalobus,Filenchus,Geocenamus,Gracilacus,Heterocephalobus,Longidorus,Meloidogyne,Metateratocephalus,Mononchus,Nothotylenchus,Paratylenchus,Plectus,Pratylenchus,Psilenchus,Rhabditidae,Rhabditis,Quinisulcius,Tylenchidae
24,Columbia Basin,1,Virgin field,0,11,0,8,5,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
25,Columbia Basin,1,Non-virgin,36,24,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
26,Columbia Basin,1,Native,15,13,0,12,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Columbia Basin,2,Virgin field,0,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
28,Columbia Basin,2,Non-virgin field,7,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,31,0,0,0
29,Columbia Basin,2,Native,28,17,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Columbia Basin,3,Virgin field,0,32,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,16,0,0,2,0,154,0,0,0
31,columbia Basin,3,Non-virgin,0,38,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0
32,columbia Basin,3,Native,29,18,0,4,6,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
33,Columbia Basin,4,Virgin Field,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,3
34,Columbia Basin,4,Non-virgin,0,8,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1
35,Columbia Basin,4,Native,71,36,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0
36,Columbia Basin,5,Virgin Field,18,9,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,186,0,0,0
37,Columbia Basin,5,Non-virgin,5,9,0,6,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2
38,Columbia Basin,5,Native,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,61,0,0,0
39,Columbia Basin,6,Virgin Field,22,38,0,18,11,0,0,1,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0
40,Columbia Basin,6,Non-virgin,17,29,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0
