,ID,lat,long,FieldType,Location,SamplingYear,2016,2017,2018,2019,2020,2021,2022
1,1,46.283706,-118.674581,Non-virgin,Columbia Basin,2021,Winter Wheat,Corn,Potatoes,Winter Wheat,Sweet Corn,Potatoes,Winter Wheat
2,2,46.281286,-118.684761,Virgin,Columbia Basin,2021,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Potatoes,Winter Wheat
3,4,47.084598,-119.808285,Non-virgin,Columbia Basin,2021,Potatoes,Potatoes,Grass/Pasture,Canola,Sweet Corn,Potatoes,Winter Wheat
4,5,47.076717,-119.802953,Virgin,Columbia Basin,2021,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Fallow/Idle Cropland,Shrubland
5,6,47.045431,-119.609527,Virgin,Columbia Basin,2021,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland
6,7,47.039913,-119.604025,Non-virgin,Columbia Basin,2021,Shrubland,Shrubland,Shrubland,Sweet Corn,Potatoes,Shrubland,Dry Beans
7,8,48.4382,-122.4225,Virgin,Skagit Valley,2021,Corn,Barley,Hemp,Barley,Barley,Potatoes,Corn
8,9,48.4326,-122.3791,Non-virgin,Skagit Valley,2021,Barley,Greens,Greens,Developed/Medium Intensity,Developed/Medium Intensity,Developed/Medium Intensity,Developed/Medium Intensity
9,10,45.69724886,-119.3547182,Virgin,Columbia Basin,2021,Winter Wheat,Fallow/Idle Cropland,Fallow/Idle Cropland,Fallow/Idle Cropland,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland
10,11,45.67176481,-119.346965,Virgin,Columbia Basin,2021,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Winter Wheat,Sweet Corn,Potatoes,Winter Wheat
11,12,45.6655718,-119.3518295,Virgin,Columbia Basin,2021,Winter Wheat,Fallow/Idle Cropland,Fallow/Idle Cropland,Winter Wheat,Corn,Pumpkins,Spring Wheat
12,13,45.65722227,-119.346829,Virgin,Columbia Basin,2021,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland,Spring Wheat,Spring Wheat,Spring Wheat
13,14,45.679267,-119.346864,Non-virgin,Columbia Basin,2021,Winter Wheat,Potatoes,Winter Wheat,Spring Wheat,Alfalfa,Potatoes,Winter Wheat
14,15,45.749823,-119.1507605,Non-virgin,Columbia Basin,2021,Potatoes,Winter Wheat,Sod/Grass Seed,Onions,Winter Wheat,Potatoes,Corn
15,16,45.7378632,-119.1228807,Non-virgin,Columbia Basin,2021,Spring Wheat,Sod/Grass Seed,Sod/Grass Seed,Watermelons,Corn,Potatoes,Winter Wheat
16,17,45.7392845,-119.1337755,Non-virgin,Columbia Basin,2021,Alfalfa,Alfalfa,Sod/Grass Seed,Onions,Spring Wheat,Potatoes,Winter Wheat
17,18,48.20852,-122.33752,Virgin,Skagit Valley,2021,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Corn,Other Hay/Non Alfalfa,Potatoes,Barley
18,19,48.33374,-122.3423,Non-virgin,Skagit Valley,2021,Developed/Low Intensity,Developed/Low Intensity,Developed/Low Intensity,Herbaceous Wetlands,Herbaceous Wetlands,Herbaceous Wetlands,Herbaceous Wetlands
19,20,48.439919,-122.393783,Virgin,Skagit Valley,2021,Fallow/Idle Cropland,Barley,Blueberries,Potatoes,Dry Beans,Corn,Clover/Wildflowers
20,21,48.40048,-122.409583,Non-virgin,Skagit Valley,2021,Spring Wheat,Barley,Greens,Corn,Winter Wheat,Potatoes,Winter Wheat
21,22,48.387201,-122.489909,Virgin,Skagit Valley,2021,Blueberries,Other Hay/Non Alfalfa,Sod/Grass Seed,Corn,Barley,Barley,Barley
22,23,48.382227,-122.494621,Non-virgin,Skagit Valley,2021,Potatoes,Potatoes,Barley,Potatoes,Dry Beans,Barley,Barley
23,24,47.092944,-119.688722,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Potatoes
24,25,47.099982,-119.677853,Non-virgin,Columbia Basin,2022,Potatoes,Dry Beans,Corn,Alfalfa,Potatoes,Sweet Corn,Potatoes
25,26,47.09682,-119.68236,Native,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland
26,27,47.0995549,-119.6989048,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Potatoes
27,28,47.0999557,-119.6889465,Non-virgin,Columbia Basin,2022,Potatoes,Dry Beans,Potatoes,Other Hay/Non Alfalfa,Potatoes,Sweet Corn,Potatoes
28,29,47.10262,-119.7052,Native,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland
29,30,47.077016,-119.797965,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Sweet Corn,Potatoes
30,31,47.084431,-119.797696,Non-virgin,columbia Basin,2022,Winter Wheat,Dry Beans,Spring Wheat,Corn,Dry Beans,Sweet Corn,Potatoes
31,32,47.10274,-119.7263,Native,columbia Basin,2022,Shrubland,Shrubland,Shrubland,Developed/Open Space,Developed/Open Space,Developed/Medium Intensity,Developed/Medium Intensity
32,33,46.074888,-119.35551,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland
33,34,46.074778,-119.344942,Non-virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Winter Wheat
34,35,46.079285,-119.35545,Native,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland
35,36,45.8312475,-119.18859,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Grass/Pasture,Grass/Pasture,Grass/Pasture,Grass/Pasture
36,37,45.800426,-119.212764,Non-virgin,Columbia Basin,2022,Potatoes,Onions,Herbs,Mint,Potatoes,Sweet Corn,Potatoes
37,38,45.80168,-119.21475,Native,Columbia Basin,2022,Peas,Fallow/Idle Cropland,Peas,Potatoes,Corn,Potatoes,Sod/Grass Seed
38,39,45.8311059,-119.19936,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Grass/Pasture,Grass/Pasture,Grass/Pasture,Grass/Pasture
39,40,45.796811,-119.212707,Non-virgin,Columbia Basin,2022,Alfalfa,Alfalfa,Alfalfa,Onions,Sod/Grass Seed,Sod/Grass Seed,Peas
40,41,45.79866,-119.21403,Native,Columbia Basin,2022,Winter Wheat,Fallow/Idle Cropland,Fallow/Idle Cropland,Fallow/Idle Cropland,Potatoes,Sweet Corn,Onions
41,42,45.8235256,-119.16699,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland,Shrubland
42,43,45.803208,-119.208403,Non-virgin,Columbia Basin,2022,Peas,Onions,Herbs,Corn,Onions,Corn,Potatoes
43,44,45.85578,-119.15654,Native,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Shrubland,Herbaceous Wetlands,Shrubland,Herbaceous Wetlands
44,45,45.740838,-119.052273,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Fallow/Idle Cropland,Developed/Low Intensity,Developed/Low Intensity,Developed/Low Intensity,Developed/Low Intensity
45,46,45.759103,-119.157996,Non-virgin,Columbia Basin,2022,Onions,Winter Wheat,Potatoes,Winter Wheat,Onions,Potatoes,Potatoes
46,47,45.75048,-119.07144,Native,Columbia Basin,2022,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland,Winter Wheat
47,48,45.740797,-119.042748,Virgin,Columbia Basin,2022,Shrubland,Fallow/Idle Cropland,Winter Wheat,Developed/Open Space,Developed/Open Space,Fallow/Idle Cropland,Developed/Open Space
48,49,45.768345,-119.148897,Non-virgin,Columbia Basin,2022,Sod/Grass Seed,Onions,Winter Wheat,Potatoes,Spring Wheat,Sweet Corn,Potatoes
49,50,45.74945,-119.05993,Native,Columbia Basin,2022,Developed/Open Space,Developed/Open Space,Developed/Open Space,Developed/Open Space,Developed/Open Space,Developed/Open Space,Developed/Open Space
50,51,46.485758,-119.18886,Virgin,Columbia Basin,2022,Spring Wheat,Corn,Dry Beans,Winter Wheat,Corn,Corn,Potatoes
